frame_index,timestamp_sec,detected,x_pixel,y_pixel,instant_speed_kmh,is_bounce_point,is_impact_point,is_projected
1,0.033,True,315,184,19.4,False,False,False
2,0.067,True,311,186,18.4,False,False,False
3,0.1,True,308,189,19.4,False,False,False
4,0.133,True,304,191,15.7,False,False,False
5,0.167,True,301,193,19.4,False,False,False
6,0.2,True,297,195,15.7,False,False,False
7,0.233,True,294,197,19.4,False,False,False
8,0.267,True,290,199,15.7,False,False,False
9,0.3,True,287,201,19.4,False,False,False
10,0.333,True,283,203,15.7,False,False,False
11,0.367,True,280,205,19.4,False,False,False
12,0.4,True,276,207,15.7,False,False,False
13,0.433,True,273,209,13.7,False,False,False
38,1.267,True,198,256,12.3,False,False,False
39,1.3,True,195,257,27.8,False,False,False
40,1.333,True,193,259,78.3,False,False,False
42,1.4,True,188,263,13.7,False,False,False
48,1.6,True,173,273,12.3,False,False,False
49,1.633,True,170,274,12.3,False,False,False
50,1.667,True,168,276,9.7,False,False,False
51,1.7,True,166,278,15.7,False,False,False
52,1.733,True,164,279,33.9,False,False,False
53,1.767,True,161,281,9.7,False,False,False
56,1.867,True,155,286,15.7,False,False,False
57,1.9,True,153,287,21.7,False,False,False
58,1.933,True,150,289,9.7,False,False,False
60,2.0,True,146,292,12.3,False,False,False
61,2.033,True,144,293,61.8,False,False,False
62,2.067,True,142,295,9.7,False,False,False
68,2.267,True,131,304,12.3,False,False,False
69,2.3,True,129,305,9.7,False,False,False
70,2.333,True,127,307,9.7,False,False,False
71,2.367,True,125,308,9.7,False,False,False
72,2.4,True,124,310,9.7,False,False,False
73,2.433,True,122,311,9.7,False,False,False
74,2.467,True,120,312,9.7,False,False,False
75,2.5,True,119,314,9.7,False,False,False
76,2.533,True,117,315,19.4,False,False,False
77,2.567,True,116,317,9.7,False,False,False
79,2.633,True,112,319,9.7,False,False,False
80,2.667,True,111,321,153.8,False,False,False
81,2.7,True,109,322,6.1,False,False,False
102,3.4,True,85,348,6.1,False,False,False
103,3.433,True,84,349,6.1,False,False,False
104,3.467,True,83,350,4.3,False,False,False
105,3.5,True,82,351,6.1,False,False,False
106,3.533,True,82,352,6.1,False,False,False
107,3.567,True,81,353,6.1,False,False,False
108,3.6,True,80,354,8.7,False,False,False
109,3.633,True,79,355,6.1,False,False,False
110,3.667,True,79,357,6.1,False,False,False
111,3.7,True,78,358,6.1,False,False,False
112,3.733,True,77,359,8.7,False,False,False
189,6.3,True,113,409,8.7,False,False,False
190,6.333,True,114,410,4.3,False,False,False
191,6.367,True,116,410,9.7,False,False,False
192,6.4,True,118,410,8.7,False,False,False
193,6.433,True,119,410,4.3,False,False,False
194,6.467,True,121,411,8.7,False,False,False
195,6.5,True,123,411,9.7,False,False,False
196,6.533,True,124,411,8.7,False,False,False
197,6.567,True,126,411,4.3,False,False,False
198,6.6,True,128,412,6.1,True,False,False
199,6.633,True,130,412,4.3,False,False,False
200,6.667,True,131,412,6.1,False,False,False
212,7.067,True,183,328,143.9,False,False,False
213,7.1,True,184,329,0.0,False,False,False
214,7.133,True,185,329,4.3,False,False,False
215,7.167,True,186,330,6.1,False,False,False
245,8.167,True,215,346,4.3,False,False,False
246,8.2,True,215,346,4.3,False,False,False
247,8.233,True,216,346,4.3,False,False,False
248,8.267,True,217,347,4.3,False,False,False
249,8.3,True,218,347,12.3,False,False,False
250,8.333,True,218,348,4.3,False,False,False
251,8.367,True,219,348,6.1,False,False,False
252,8.4,True,220,348,0.0,False,False,False
256,8.533,True,222,350,4.3,False,False,False
257,8.567,True,223,350,6.1,False,False,False
258,8.6,True,224,351,0.0,False,False,False
259,8.633,True,224,351,4.3,False,False,False
260,8.667,True,225,351,4.3,False,False,False
261,8.7,True,226,352,4.3,False,False,False
262,8.733,True,226,352,0.0,False,False,False
263,8.767,True,227,352,6.1,False,False,False
264,8.8,True,227,353,0.0,False,False,False
265,8.833,True,228,353,4.3,False,False,False
266,8.867,True,228,353,4.3,False,False,False
267,8.9,True,229,354,4.3,False,False,False
268,8.933,True,229,354,0.0,False,False,False
269,8.967,True,230,354,4.3,False,False,False
270,9.0,True,230,355,4.3,False,False,False
271,9.033,True,231,355,4.3,False,False,False
272,9.067,True,231,355,0.0,False,False,False
273,9.1,True,232,355,6.1,False,False,False
274,9.133,True,232,356,0.0,False,False,False
275,9.167,True,233,356,0.0,False,False,False
276,9.2,True,233,356,4.3,False,False,False
277,9.233,True,234,357,0.0,False,False,False
278,9.267,True,234,357,4.3,False,False,False
279,9.3,True,234,357,4.3,False,False,False
280,9.333,True,235,357,0.0,False,False,False
281,9.367,True,235,357,0.0,False,False,False
282,9.4,True,235,358,6.1,False,False,False
283,9.433,True,236,358,0.0,False,False,False
284,9.467,True,236,358,0.0,False,False,False
285,9.5,True,236,358,4.3,False,False,False
286,9.533,True,237,359,0.0,False,False,False
287,9.567,True,237,359,0.0,False,False,False
288,9.6,True,237,359,4.3,False,False,False
289,9.633,True,238,359,4.3,False,False,False
290,9.667,True,238,359,0.0,False,False,False
291,9.7,True,238,359,0.0,False,False,False
292,9.733,True,238,360,0.0,False,False,False
293,9.767,True,239,360,0.0,False,False,False
294,9.8,True,239,360,6.1,False,False,False
295,9.833,True,239,360,0.0,False,False,False
296,9.867,True,239,360,0.0,False,False,False
297,9.9,True,239,360,0.0,False,False,False
298,9.933,True,240,361,0.0,False,False,False
299,9.967,True,240,361,0.0,False,False,False
300,10.0,True,240,361,0.0,False,False,False
301,10.033,True,240,361,4.3,False,False,False
302,10.067,True,240,361,0.0,False,False,False
303,10.1,True,240,361,4.3,False,False,False
304,10.133,True,240,361,0.0,False,False,False
305,10.167,True,241,361,0.0,False,False,False
306,10.2,True,241,361,0.0,False,False,False
307,10.233,True,241,362,0.0,False,False,False
308,10.267,True,241,362,0.0,False,False,False
309,10.3,True,241,362,0.0,False,False,False
310,10.333,True,241,362,0.0,False,False,False
311,10.367,True,241,362,0.0,False,False,False
312,10.4,True,241,362,0.0,False,False,False
313,10.433,True,241,362,0.0,False,False,False
314,10.467,True,241,362,0.0,False,False,False
315,10.5,True,241,362,0.0,False,False,False
316,10.533,True,241,362,0.0,False,False,False
317,10.567,True,241,362,4.3,False,False,False
318,10.6,True,241,362,0.0,False,False,False
319,10.633,True,241,362,0.0,False,False,False
320,10.667,True,241,362,0.0,False,False,False
321,10.7,True,240,362,0.0,False,False,False
322,10.733,True,240,362,0.0,False,False,False
323,10.767,True,240,362,0.0,False,False,False
324,10.8,True,240,362,0.0,False,False,False
325,10.833,True,240,362,4.3,False,False,False
326,10.867,True,240,362,0.0,False,False,False
327,10.9,True,240,362,0.0,False,False,False
328,10.933,True,240,362,0.0,False,False,False
329,10.967,True,239,362,0.0,False,False,False
330,11.0,True,239,362,4.3,False,False,False
331,11.033,True,239,362,0.0,False,False,False
332,11.067,True,239,362,0.0,False,False,False
333,11.1,True,239,362,4.3,False,False,False
334,11.133,True,238,362,4.3,False,False,False
335,11.167,True,238,362,0.0,False,False,False
336,11.2,True,238,362,0.0,False,False,False
337,11.233,True,238,361,4.3,False,False,False
338,11.267,True,237,361,0.0,False,False,False
339,11.3,True,237,361,0.0,False,False,False
