frame_index,timestamp_sec,detected,x_pixel,y_pixel,instant_speed_kmh,is_bounce_point,is_impact_point,is_projected
1,0.033,True,322,323,4.3,False,False,False
2,0.067,True,322,322,58.0,False,False,False
3,0.1,True,309,325,4.3,False,False,False
4,0.133,True,309,324,55.0,False,False,False
5,0.167,True,266,332,72.9,False,False,False
6,0.2,True,278,328,55.0,False,False,False
7,0.233,True,294,323,41.2,False,False,False
8,0.267,True,306,319,27.5,False,False,False
9,0.3,True,315,316,13.7,False,False,False
10,0.333,True,321,314,9.7,False,False,False
11,0.367,True,324,313,0.0,False,False,False
12,0.4,True,326,312,0.0,False,False,False
13,0.433,True,326,312,6.1,False,False,False
14,0.467,True,326,312,0.0,False,False,False
15,0.5,True,325,311,4.3,False,False,False
16,0.533,True,325,311,6.1,False,False,False
17,0.567,True,326,311,139.1,False,False,False
18,0.6,True,327,312,81.2,False,False,False
19,0.633,True,255,330,27.5,False,False,False
20,0.667,True,206,343,96.2,False,False,False
21,0.7,True,175,351,52.9,False,False,False
22,0.733,True,157,356,155.5,False,False,False
23,0.767,True,151,354,81.7,False,False,False
24,0.8,True,218,335,127.9,False,False,False
25,0.833,True,197,342,38.9,False,False,False
26,0.867,True,185,344,124.4,False,False,False
27,0.9,True,246,328,95.4,False,False,False
28,0.933,True,150,357,84.4,False,False,False
29,0.967,True,82,377,65.8,False,False,False
30,1.0,True,187,318,43.7,False,False,False
31,1.033,True,264,276,30.7,False,False,False
32,1.067,True,317,248,17.4,False,False,False
33,1.1,True,349,232,9.7,False,False,False
34,1.133,True,366,224,0.0,False,False,False
35,1.167,True,361,253,4.3,False,False,False
36,1.2,True,365,245,6.1,False,False,False
37,1.233,True,353,271,0.0,False,False,False
38,1.267,True,342,290,4.3,False,False,False
39,1.3,True,346,271,153.6,False,False,False
40,1.333,True,348,256,48.6,False,False,False
41,1.367,True,349,246,41.2,False,False,False
42,1.4,True,350,239,33.1,False,False,False
43,1.433,True,350,235,18.4,False,False,False
44,1.467,True,349,233,9.7,False,False,False
45,1.5,True,349,233,136.4,False,False,False
46,1.533,True,349,234,97.7,False,False,False
47,1.567,True,348,235,60.5,False,False,False
48,1.6,True,348,235,29.2,False,False,False
49,1.633,True,348,234,13.7,False,False,False
50,1.667,True,333,266,9.7,False,False,False
51,1.7,True,338,256,6.1,False,False,False
52,1.733,True,341,247,4.3,False,False,False
53,1.767,True,344,240,13.7,False,False,False
54,1.8,True,347,237,9.7,False,False,False
55,1.833,True,348,235,9.7,False,False,False
56,1.867,True,336,264,159.4,False,False,False
57,1.9,True,328,285,43.7,False,False,False
58,1.933,True,323,298,35.8,False,False,False
59,1.967,True,320,304,22.2,False,False,False
60,2.0,True,319,307,17.9,False,False,False
61,2.033,True,320,309,8.7,False,False,False
62,2.067,True,321,310,102.3,False,False,False
63,2.1,True,321,309,58.0,False,False,False
64,2.133,True,322,306,128.4,False,False,False
65,2.167,True,323,304,48.6,False,False,False
66,2.2,True,324,302,92.2,False,False,False
67,2.233,True,335,267,58.0,False,False,False
68,2.267,True,334,277,40.1,False,False,False
69,2.3,True,332,285,17.4,False,False,False
70,2.333,True,331,290,141.6,False,False,False
71,2.367,True,330,294,74.3,False,False,False
72,2.4,True,330,296,148.7,False,False,False
73,2.433,True,257,318,108.6,False,False,False
74,2.467,True,280,313,63.3,False,False,False
75,2.5,True,293,310,133.9,False,False,False
76,2.533,True,237,324,75.9,False,False,False
77,2.567,True,279,282,45.4,False,False,False
78,2.6,True,260,341,13.7,False,False,False
79,2.633,True,287,329,4.3,False,False,False
80,2.667,True,166,361,9.7,False,False,False
81,2.7,True,155,359,9.7,False,False,False
82,2.733,True,222,336,9.7,False,False,False
83,2.767,True,201,339,105.8,False,False,False
84,2.8,True,188,342,149.9,False,False,False
85,2.833,True,179,344,93.8,False,False,False
86,2.867,True,175,344,117.0,False,False,False
87,2.9,True,100,368,162.4,False,False,False
88,2.933,True,50,383,107.5,False,False,False
89,2.967,True,19,393,63.3,False,False,False
90,3.0,True,3,399,30.7,False,False,False
91,3.033,True,141,359,144.5,False,False,False
92,3.067,True,96,373,59.1,False,False,False
93,3.1,True,63,382,31.6,False,False,False
94,3.133,True,39,389,4.3,False,False,False
95,3.167,True,25,393,26.1,False,False,False
96,3.2,True,87,373,8.7,False,False,False
97,3.233,True,132,361,6.1,False,False,False
98,3.267,True,162,354,143.3,False,False,False
99,3.3,True,179,350,81.2,False,False,False
100,3.333,True,189,347,35.8,False,False,False
101,3.367,True,192,346,9.7,False,False,False
102,3.4,True,192,347,81.2,False,False,False
103,3.433,True,191,345,64.6,False,False,False
104,3.467,True,189,344,123.7,False,False,False
105,3.5,True,187,345,96.2,False,False,False
106,3.533,True,257,325,63.3,False,False,False
107,3.567,True,234,333,45.4,False,False,False
108,3.6,True,285,319,27.5,False,False,False
109,3.633,True,318,309,13.7,False,False,False
110,3.667,True,339,304,162.4,False,False,False
111,3.7,True,278,320,72.9,False,False,False
112,3.733,True,304,313,17.9,False,False,False
113,3.767,True,251,326,125.4,False,False,False
114,3.8,True,215,336,53.8,False,False,False
115,3.833,True,191,342,156.0,False,False,False
116,3.867,True,177,346,148.7,False,False,False
117,3.9,True,170,347,103.3,False,False,False
118,3.933,True,239,328,63.3,False,False,False
119,3.967,True,288,315,35.8,False,False,False
120,4.0,True,320,306,145.7,False,False,False
121,4.033,True,193,340,134.9,False,False,False
122,4.067,True,180,344,85.4,False,False,False
123,4.1,True,173,346,55.0,False,False,False
124,4.133,True,93,367,30.7,False,False,False
125,4.167,True,188,343,13.0,False,False,False
126,4.2,True,188,342,145.7,False,False,False
127,4.233,True,258,324,130.7,False,False,False
128,4.267,True,306,312,154.0,False,False,False
129,4.3,True,188,343,107.5,False,False,False
130,4.333,True,182,343,120.2,False,False,False
131,4.367,True,180,343,75.0,False,False,False
132,4.4,True,179,344,119.3,False,False,False
133,4.433,True,249,326,85.7,False,False,False
134,4.467,True,298,313,62.2,False,False,False
135,4.5,True,330,305,116.6,False,False,False
136,4.533,True,348,300,85.6,False,False,False
137,4.567,True,356,298,60.5,False,False,False
138,4.6,True,358,297,41.2,False,False,False
139,4.633,True,287,318,22.2,False,False,False
140,4.667,True,305,313,103.3,False,False,False
141,4.7,True,319,308,159.4,False,False,False
142,4.733,True,263,327,94.9,False,False,False
143,4.767,True,290,318,48.6,False,False,False
144,4.8,True,311,311,46.2,False,False,False
145,4.833,True,325,307,19.4,False,False,False
146,4.867,True,335,304,4.3,False,False,False
147,4.9,True,341,302,15.7,False,False,False
148,4.933,True,344,301,15.7,False,False,False
149,4.967,True,198,341,15.7,False,False,False
150,5.0,True,97,369,9.7,False,False,False
151,5.033,True,33,387,9.7,False,False,False
152,5.067,True,-3,397,9.7,False,False,False
153,5.1,True,-19,402,4.3,False,False,False
154,5.133,True,-23,403,4.3,False,False,False
155,5.167,True,125,360,9.7,False,False,False
156,5.2,True,87,371,70.7,False,False,False
157,5.233,True,204,338,58.5,False,False,False
158,5.267,True,284,315,46.2,False,False,False
159,5.3,True,334,301,30.7,False,False,False
160,5.333,True,362,294,18.4,False,False,False
161,5.367,True,374,291,6.1,False,False,False
162,5.4,True,308,310,4.3,False,False,False
163,5.433,True,258,325,4.3,False,False,False
164,5.467,True,223,333,9.7,False,False,False
165,5.5,True,267,320,6.1,False,False,False
166,5.533,True,300,311,0.0,False,False,False
167,5.567,True,323,305,0.0,False,False,False
168,5.6,True,337,301,4.3,False,False,False
169,5.633,True,345,299,0.0,False,False,False
170,5.667,True,279,317,0.0,False,False,False
171,5.7,True,232,332,4.3,False,False,False
172,5.733,True,200,342,4.3,False,False,False
173,5.767,True,251,325,4.3,False,False,False
174,5.8,True,289,314,4.3,False,False,False
175,5.833,True,247,328,4.3,False,False,False
176,5.867,True,217,336,6.1,False,False,False
177,5.9,True,198,341,4.3,False,False,False
178,5.933,True,186,345,70.7,False,False,False
179,5.967,True,179,346,58.5,False,False,False
180,6.0,True,176,346,43.5,False,False,False
181,6.033,True,245,325,30.7,False,False,False
182,6.067,True,294,310,79.9,False,False,False
183,6.1,True,326,300,64.6,False,False,False
184,6.133,True,278,317,37.4,False,False,False
185,6.167,True,307,309,27.8,False,False,False
186,6.2,True,260,322,18.4,False,False,False
187,6.233,True,226,332,9.7,False,False,False
188,6.267,True,202,338,150.6,False,False,False
189,6.3,True,257,322,98.3,False,False,False
190,6.333,True,296,310,55.3,False,False,False
191,6.367,True,252,322,24.6,False,False,False
192,6.4,True,291,315,6.1,False,False,False
193,6.433,True,318,309,9.7,False,False,False
194,6.467,True,335,306,6.1,False,False,False
195,6.5,True,311,362,18.4,False,False,False
196,6.533,True,326,339,12.3,False,False,False
197,6.567,True,336,322,9.7,False,False,False
198,6.6,True,342,309,58.5,False,False,False
199,6.633,True,273,323,107.3,False,False,False
200,6.667,True,297,311,60.4,False,False,False
201,6.7,True,315,303,24.6,False,False,False
202,6.733,True,328,298,4.3,False,False,False
203,6.767,True,337,295,13.0,False,False,False
204,6.8,True,342,294,13.7,False,False,False
205,6.833,True,273,315,19.4,False,False,False
206,6.867,True,296,309,13.7,False,False,False
207,6.9,True,246,322,9.7,False,False,False
208,6.933,True,211,333,6.1,False,False,False
209,6.967,True,190,339,6.1,False,False,False
210,7.0,True,179,341,4.3,False,False,False
211,7.033,True,172,349,4.3,False,False,False
212,7.067,True,170,353,4.3,False,False,False
213,7.1,True,170,354,0.0,False,False,False
214,7.133,True,173,352,0.0,False,False,False
215,7.167,True,176,350,8.7,False,False,False
216,7.2,True,179,348,4.3,False,False,False
217,7.233,True,181,347,4.3,False,False,False
218,7.267,True,183,346,0.0,False,False,False
219,7.3,True,185,345,0.0,False,False,False
220,7.333,True,186,345,0.0,False,False,False
221,7.367,True,187,345,0.0,False,False,False
222,7.4,True,189,346,0.0,False,False,False
223,7.433,True,228,379,4.3,False,False,False
224,7.467,True,216,368,0.0,False,False,False
225,7.5,True,207,358,0.0,False,False,False
226,7.533,True,199,351,0.0,False,False,False
227,7.567,True,194,346,15.7,False,False,False
228,7.6,True,191,343,9.7,False,False,False
229,7.633,True,190,342,4.3,False,False,False
230,7.667,True,190,343,6.1,False,False,False
231,7.7,True,190,344,4.3,False,False,False
232,7.733,True,191,346,6.1,False,False,False
233,7.767,True,192,347,0.0,False,False,False
234,7.8,True,192,347,0.0,False,False,False
235,7.833,True,192,347,0.0,False,False,False
236,7.867,True,192,348,0.0,False,False,False
237,7.9,True,192,348,0.0,False,False,False
238,7.933,True,192,348,6.1,False,False,False
239,7.967,True,193,348,22.2,False,False,False
240,8.0,True,194,348,4.3,False,False,False
241,8.033,True,194,347,4.3,False,False,False
242,8.067,True,193,347,4.3,False,False,False
243,8.1,True,192,347,4.3,False,False,False
244,8.133,True,191,346,4.3,False,False,False
245,8.167,True,191,345,0.0,False,False,False
246,8.2,True,229,380,6.1,False,False,False
247,8.233,True,217,369,4.3,False,False,False
248,8.267,True,208,359,9.7,False,False,False
249,8.3,True,200,353,9.7,False,False,False
250,8.333,True,195,348,4.3,False,False,False
251,8.367,True,229,380,6.1,False,False,False
252,8.4,True,216,367,4.3,False,False,False
253,8.433,True,205,357,4.3,False,False,False
254,8.467,True,198,352,0.0,False,False,False
255,8.5,True,193,348,0.0,False,False,False
256,8.533,True,190,345,0.0,False,False,False
257,8.567,True,189,343,0.0,False,False,False
258,8.6,True,226,377,6.1,False,False,False
259,8.633,True,251,401,21.7,False,False,False
260,8.667,True,267,417,9.7,False,False,False
261,8.7,True,276,426,4.3,False,False,False
262,8.733,True,280,430,4.3,False,False,False
263,8.767,True,281,431,0.0,False,False,False
264,8.8,True,280,429,6.1,False,False,False
265,8.833,True,279,428,0.0,False,False,False
266,8.867,True,276,425,0.0,False,False,False
267,8.9,True,274,423,0.0,False,False,False
268,8.933,True,273,421,0.0,False,False,False
269,8.967,True,236,386,4.3,False,False,False
270,9.0,True,246,395,4.3,False,False,False
271,9.033,True,274,343,0.0,False,False,False
272,9.067,True,294,307,6.1,False,False,False
273,9.1,True,307,286,0.0,False,False,False
274,9.133,True,314,274,0.0,False,False,False
275,9.167,True,318,270,0.0,False,False,False
276,9.2,True,319,270,0.0,False,False,False
277,9.233,True,319,273,0.0,False,False,False
278,9.267,True,318,276,4.3,False,False,False
279,9.3,True,316,280,0.0,False,False,False
280,9.333,True,315,283,0.0,False,False,False
281,9.367,True,314,285,4.3,False,False,False
282,9.4,True,313,286,0.0,False,False,False
283,9.433,True,312,287,4.3,False,False,False
284,9.467,True,312,288,9.7,False,False,False
285,9.5,True,311,288,8.7,False,False,False
286,9.533,True,311,287,8.7,False,False,False
287,9.567,True,311,287,4.3,False,False,False
288,9.6,True,311,287,0.0,False,False,False
289,9.633,True,311,289,0.0,False,False,False
290,9.667,True,311,290,6.1,False,False,False
291,9.7,True,311,291,4.3,False,False,False
292,9.733,True,311,291,0.0,False,False,False
293,9.767,True,311,291,0.0,False,False,False
294,9.8,True,311,291,0.0,False,False,False
295,9.833,True,311,291,6.1,False,False,False
296,9.867,True,311,291,0.0,False,False,False
297,9.9,True,312,291,6.1,False,False,False
298,9.933,True,312,291,0.0,False,False,False
299,9.967,True,312,291,4.3,False,False,False
300,10.0,True,312,291,0.0,False,False,False
301,10.033,True,310,288,0.0,False,False,False
302,10.067,True,309,286,0.0,False,False,False
303,10.1,True,309,285,4.3,False,False,False
304,10.133,True,308,284,4.3,False,False,False
305,10.167,True,308,283,8.7,False,False,False
306,10.2,True,307,282,9.7,False,False,False
307,10.233,True,307,282,4.3,False,False,False
308,10.267,True,307,282,0.0,False,False,False
309,10.3,True,307,282,0.0,False,False,False
310,10.333,True,307,282,4.3,False,False,False
311,10.367,True,307,282,0.0,False,False,False
312,10.4,True,308,283,4.3,False,False,False
313,10.433,True,307,288,0.0,False,False,False
314,10.467,True,307,287,4.3,False,False,False
315,10.5,True,307,286,4.3,False,False,False
316,10.533,True,307,285,4.3,False,False,False
317,10.567,True,307,284,0.0,False,False,False
318,10.6,True,307,283,4.3,False,False,False
319,10.633,True,307,283,0.0,False,False,False
320,10.667,True,306,282,6.1,False,False,False
321,10.7,True,307,282,4.3,False,False,False
322,10.733,True,308,284,6.1,False,False,False
323,10.767,True,309,286,0.0,False,False,False
324,10.8,True,309,287,0.0,False,False,False
325,10.833,True,310,288,0.0,False,False,False
326,10.867,True,310,289,0.0,False,False,False
327,10.9,True,311,289,4.3,False,False,False
328,10.933,True,311,289,6.1,False,False,False
329,10.967,True,311,289,9.7,False,False,False
330,11.0,True,311,289,4.3,False,False,False
331,11.033,True,311,289,6.1,False,False,False
332,11.067,True,312,290,0.0,False,False,False
333,11.1,True,309,286,4.3,False,False,False
334,11.133,True,310,288,0.0,False,False,False
335,11.167,True,311,288,4.3,False,False,False
336,11.2,True,311,289,4.3,False,False,False
337,11.233,True,311,289,0.0,False,False,False
338,11.267,True,312,290,0.0,False,False,False
339,11.3,True,312,290,0.0,False,False,False
340,11.333,True,312,290,4.3,False,False,False
341,11.367,True,312,290,6.1,False,False,False
342,11.4,True,312,290,0.0,False,False,False
343,11.433,True,311,290,4.3,False,False,False
344,11.467,True,310,290,6.1,False,False,False
345,11.5,True,310,290,0.0,False,False,False
346,11.533,True,309,291,0.0,False,False,False
347,11.567,True,309,291,0.0,False,False,False
348,11.6,True,309,291,0.0,False,False,False
349,11.633,True,309,291,0.0,False,False,False
350,11.667,True,309,291,4.3,False,False,False
351,11.7,True,309,291,0.0,False,False,False
352,11.733,True,309,290,13.0,False,False,False
353,11.767,True,309,290,4.3,False,False,False
354,11.8,True,309,290,4.3,False,False,False
355,11.833,True,309,289,4.3,False,False,False
356,11.867,True,309,289,0.0,False,False,False
357,11.9,True,310,289,4.3,False,False,False
358,11.933,True,309,287,4.3,False,False,False
359,11.967,True,309,285,0.0,False,False,False
360,12.0,True,309,283,6.1,False,False,False
361,12.033,True,309,282,0.0,False,False,False
362,12.067,True,309,282,15.7,False,False,False
363,12.1,True,309,282,9.7,False,False,False
364,12.133,True,308,281,6.1,False,False,False
365,12.167,True,309,281,4.3,False,False,False
366,12.2,True,309,281,6.1,False,False,False
367,12.233,True,309,281,0.0,False,False,False
368,12.267,True,309,281,0.0,False,False,False
369,12.3,True,310,280,0.0,False,False,False
370,12.333,True,310,280,4.3,False,False,False
371,12.367,True,311,279,12.3,False,False,False
372,12.4,True,311,279,13.7,False,False,False
373,12.433,True,310,279,12.3,False,False,False
374,12.467,True,310,279,17.4,False,False,False
375,12.5,True,310,279,9.7,False,False,False
376,12.533,True,310,279,13.7,False,False,False
377,12.567,True,309,279,4.3,False,False,False
378,12.6,True,309,280,4.3,False,False,False
379,12.633,True,309,282,4.3,False,False,False
380,12.667,True,310,284,4.3,False,False,False
381,12.7,True,310,285,4.3,False,False,False
382,12.733,True,310,285,4.3,False,False,False
383,12.767,True,310,285,4.3,False,False,False
384,12.8,True,310,286,4.3,False,False,False
385,12.833,True,310,286,0.0,False,False,False
386,12.867,True,310,287,4.3,False,False,False
387,12.9,True,310,287,0.0,False,False,False
388,12.933,True,309,287,6.1,False,False,False
389,12.967,True,310,287,4.3,False,False,False
390,13.0,True,310,286,0.0,False,False,False
391,13.033,True,310,286,4.3,False,False,False
392,13.067,True,311,286,0.0,False,False,False
393,13.1,True,311,286,4.3,False,False,False
394,13.133,True,312,285,4.3,False,False,False
395,13.167,True,313,285,6.1,False,False,False
396,13.2,True,314,284,0.0,False,False,False
397,13.233,True,314,284,0.0,False,False,False
398,13.267,True,314,284,0.0,False,False,False
399,13.3,True,314,284,0.0,False,False,False
400,13.333,True,314,284,4.3,False,False,False
401,13.367,True,313,284,4.3,False,False,False
402,13.4,True,312,283,4.3,False,False,False
403,13.433,True,310,282,4.3,False,False,False
404,13.467,True,310,281,17.9,False,False,False
405,13.5,True,309,282,13.0,False,False,False
406,13.533,True,309,282,4.3,False,False,False
407,13.567,True,309,283,0.0,False,False,False
408,13.6,True,309,283,0.0,False,False,False
409,13.633,True,309,284,0.0,False,False,False
410,13.667,True,309,285,0.0,False,False,False
411,13.7,True,309,285,4.3,False,False,False
412,13.733,True,309,285,0.0,False,False,False
413,13.767,True,309,285,13.7,False,False,False
414,13.8,True,309,284,6.1,False,False,False
415,13.833,True,310,283,8.7,False,False,False
416,13.867,True,310,283,9.7,False,False,False
417,13.9,True,310,282,9.7,False,False,False
418,13.933,True,311,283,4.3,False,False,False
419,13.967,True,311,283,13.7,False,False,False
420,14.0,True,311,283,12.3,False,False,False
421,14.033,True,311,283,0.0,False,False,False
422,14.067,True,311,283,6.1,False,False,False
423,14.1,True,311,283,8.7,False,False,False
424,14.133,True,311,284,0.0,False,False,False
425,14.167,True,311,284,4.3,False,False,False
426,14.2,True,311,281,4.3,False,False,False
427,14.233,True,311,280,4.3,False,False,False
428,14.267,True,311,279,4.3,False,False,False
429,14.3,True,311,278,0.0,False,False,False
430,14.333,True,311,278,0.0,False,False,False
431,14.367,True,311,279,4.3,False,False,False
432,14.4,True,311,280,4.3,False,False,False
433,14.433,True,311,280,0.0,False,False,False
434,14.467,True,312,281,4.3,False,False,False
435,14.5,True,312,281,0.0,False,False,False
436,14.533,True,315,283,4.3,False,False,False
437,14.567,True,316,285,6.1,False,False,False
438,14.6,True,317,286,138.1,False,False,False
439,14.633,True,318,286,87.5,False,False,False
440,14.667,True,317,285,42.8,False,False,False
441,14.7,True,317,285,126.6,False,False,False
442,14.733,True,317,285,78.3,False,False,False
443,14.767,True,317,285,38.9,False,False,False
444,14.8,True,317,286,15.7,False,False,False
445,14.833,True,315,284,9.7,False,False,False
446,14.867,True,314,287,13.0,False,False,False
447,14.9,True,312,289,13.0,False,False,False
448,14.933,True,312,285,13.0,False,False,False
449,14.967,True,311,287,8.7,False,False,False
450,15.0,True,310,284,13.0,False,False,False
451,15.033,True,311,284,6.1,False,False,False
452,15.067,True,312,284,4.3,False,False,False
453,15.1,True,313,284,4.3,False,False,False
454,15.133,True,313,283,0.0,False,False,False
455,15.167,True,313,282,0.0,False,False,False
456,15.2,True,314,282,4.3,False,False,False
457,15.233,True,314,283,0.0,False,False,False
458,15.267,True,315,283,0.0,False,False,False
459,15.3,True,315,283,0.0,False,False,False
460,15.333,True,316,283,0.0,False,False,False
461,15.367,True,316,283,19.4,False,False,False
462,15.4,True,317,284,134.8,False,False,False
463,15.433,True,318,284,70.2,False,False,False
464,15.467,True,318,284,135.4,False,False,False
465,15.5,True,319,284,89.6,False,False,False
466,15.533,True,319,284,56.5,False,False,False
467,15.567,True,319,285,27.8,False,False,False
468,15.6,True,319,284,19.4,False,False,False
469,15.633,True,318,283,13.0,False,False,False
470,15.667,True,318,283,9.7,False,False,False
471,15.7,True,318,283,9.7,False,False,False
472,15.733,True,318,283,8.7,False,False,False
473,15.767,True,318,283,8.7,False,False,False
474,15.8,True,317,283,4.3,False,False,False
475,15.833,True,317,284,15.7,False,False,False
476,15.867,True,317,285,9.7,False,False,False
477,15.9,True,316,285,8.7,False,False,False
478,15.933,True,315,289,4.3,False,False,False
479,15.967,True,315,292,9.7,False,False,False
480,16.0,True,315,293,4.3,False,False,False
481,16.033,True,315,293,4.3,False,False,False
482,16.067,True,315,293,0.0,False,False,False
483,16.1,True,315,293,12.3,False,False,False
484,16.133,True,315,293,12.3,False,False,False
485,16.167,True,315,292,161.0,False,False,False
486,16.2,True,315,292,96.5,False,False,False
487,16.233,True,314,289,46.8,False,False,False
