frame_index,timestamp_sec,detected,x_pixel,y_pixel,instant_speed_kmh,is_bounce_point,is_impact_point,is_projected
1,0.033,True,347,346,0.0,False,False,False
2,0.067,True,347,346,0.0,False,False,False
3,0.1,True,347,346,0.0,False,False,False
4,0.133,True,347,346,4.3,False,False,False
5,0.167,True,347,345,4.3,False,False,False
6,0.2,True,347,344,0.0,False,False,False
7,0.233,True,347,344,9.7,False,False,False
8,0.267,True,348,342,4.3,False,False,False
9,0.3,True,347,342,0.0,False,False,False
10,0.333,True,347,342,0.0,False,False,False
11,0.367,True,347,342,109.9,False,False,False
12,0.4,True,329,395,60.5,False,False,False
13,0.433,True,316,432,27.5,False,False,False
14,0.467,True,308,456,6.1,False,False,False
15,0.5,True,303,469,9.7,False,False,False
16,0.533,True,301,475,62.2,False,False,False
17,0.567,True,300,476,46.8,False,False,False
18,0.6,True,301,474,37.1,False,False,False
19,0.633,True,319,416,26.4,False,False,False
20,0.667,True,316,430,13.7,False,False,False
21,0.7,True,312,440,9.7,False,False,False
22,0.733,True,309,448,4.3,False,False,False
23,0.767,True,308,454,4.3,False,False,False
24,0.8,True,307,457,8.7,False,False,False
25,0.833,True,306,459,6.1,False,False,False
26,0.867,True,306,460,26.4,False,False,False
27,0.9,True,306,459,17.9,False,False,False
28,0.933,True,306,457,8.7,False,False,False
29,0.967,True,307,456,8.7,False,False,False
30,1.0,True,306,462,4.3,False,False,False
31,1.033,True,305,466,0.0,False,False,False
32,1.067,True,305,468,0.0,False,False,False
33,1.1,True,305,470,0.0,False,False,False
34,1.133,True,304,470,4.3,False,False,False
35,1.167,True,304,470,0.0,False,False,False
36,1.2,True,304,470,9.7,False,False,False
37,1.233,True,304,470,4.3,False,False,False
38,1.267,True,304,469,4.3,False,False,False
39,1.3,True,304,469,0.0,False,False,False
40,1.333,True,306,468,0.0,False,False,False
41,1.367,True,305,468,4.3,False,False,False
42,1.4,True,304,468,4.3,False,False,False
43,1.433,True,304,468,9.7,False,False,False
44,1.467,True,304,468,6.1,False,False,False
45,1.5,True,303,468,4.3,False,False,False
46,1.533,True,303,469,4.3,False,False,False
47,1.567,True,305,468,0.0,False,False,False
48,1.6,True,306,467,0.0,False,False,False
49,1.633,True,307,467,12.3,False,False,False
50,1.667,True,307,466,6.1,False,False,False
51,1.7,True,307,466,0.0,False,False,False
52,1.733,True,307,466,4.3,False,False,False
53,1.767,True,305,468,0.0,False,False,False
54,1.8,True,304,469,9.7,False,False,False
55,1.833,True,304,469,0.0,False,False,False
56,1.867,True,304,470,118.2,False,False,False
57,1.9,True,304,470,64.6,False,False,False
58,1.933,True,306,469,27.5,False,False,False
59,1.967,True,306,469,9.7,False,False,False
60,2.0,True,325,409,12.3,False,False,False
61,2.033,True,338,367,13.0,False,False,False
62,2.067,True,346,341,15.7,False,False,False
63,2.1,True,351,327,15.7,False,False,False
64,2.133,True,353,321,12.3,False,False,False
65,2.167,True,354,319,8.7,False,False,False
66,2.2,True,352,321,4.3,False,False,False
67,2.233,True,352,324,4.3,False,False,False
