frame_index,timestamp_sec,detected,x_pixel,y_pixel,instant_speed_kmh,is_bounce_point,is_impact_point,is_projected
1,0.033,True,200,300,0.0,False,False,False
2,0.067,True,200,300,9.7,False,False,False
3,0.1,True,201,302,40.1,False,False,False
4,0.133,True,207,309,83.5,False,False,False
5,0.167,True,219,324,112.2,False,False,False
6,0.2,True,234,345,108.0,False,False,False
7,0.233,True,250,364,99.1,False,False,False
8,0.267,True,264,382,89.6,False,False,False
9,0.3,True,277,398,80.1,False,False,False
10,0.333,True,289,412,67.6,False,False,False
11,0.367,True,300,423,64.6,False,False,False
12,0.4,True,311,433,58.5,False,False,False
13,0.433,True,321,442,55.7,False,False,False
14,0.467,True,331,450,50.7,False,False,False
15,0.5,True,341,456,44.7,False,False,False
16,0.533,True,350,461,48.6,False,False,False
17,0.567,True,360,466,45.4,False,False,False
18,0.6,True,370,469,45.4,False,False,False
19,0.633,True,380,472,44.3,False,False,False
20,0.667,True,390,474,43.5,True,False,False
21,0.7,True,400,474,39.1,False,False,False
22,0.733,True,409,474,44.3,False,False,False
23,0.767,True,419,472,44.3,False,False,False
24,0.8,True,429,470,46.8,False,False,False
25,0.833,True,439,466,46.8,False,False,False
26,0.867,True,449,462,50.7,False,False,False
27,0.9,True,459,456,53.0,False,False,False
28,0.933,True,469,449,55.7,False,False,False
29,0.967,True,479,441,55.7,False,False,False
30,1.0,True,489,433,61.5,False,False,False
31,1.033,True,499,423,61.5,False,False,False
32,1.067,True,509,413,64.6,False,False,False
33,1.1,True,519,402,67.6,False,False,False
34,1.133,True,530,391,71.3,False,False,False
35,1.167,True,540,378,71.3,False,False,False
36,1.2,True,550,365,71.3,False,False,False
37,1.233,True,560,352,74.8,False,False,False
38,1.267,True,570,338,74.8,False,False,False
39,1.3,True,580,324,78.3,False,False,False
40,1.333,True,590,309,74.8,False,False,False
41,1.367,True,600,295,78.3,False,False,False
42,1.4,True,610,280,72.3,False,False,False
43,1.433,True,619,266,74.8,False,False,False
44,1.467,True,629,252,74.8,False,False,False
45,1.5,True,639,238,74.8,False,False,False
46,1.533,True,649,224,78.3,False,False,False
47,1.567,True,659,209,71.3,False,False,False
48,1.6,True,669,196,74.0,False,False,False
49,1.633,True,680,183,67.9,False,False,False
50,1.667,True,690,171,65.2,False,False,False
51,1.7,True,699,159,64.6,False,False,False
52,1.733,True,709,148,61.5,False,False,False
53,1.767,True,719,138,58.5,False,False,False
54,1.8,True,729,129,58.5,False,False,False
55,1.833,True,739,120,53.0,False,False,False
56,1.867,True,749,113,56.7,False,False,False
57,1.9,True,760,106,50.7,False,False,False
58,1.933,True,770,100,44.7,False,False,False
59,1.967,True,779,95,46.8,False,False,False
60,2.0,True,789,91,44.3,False,False,False
61,2.033,True,799,89,44.3,False,False,False
62,2.067,True,809,87,43.5,False,False,False
63,2.1,True,819,87,43.7,False,False,False
64,2.133,True,829,88,48.0,False,False,False
65,2.167,True,840,89,46.8,False,False,False
66,2.2,True,850,93,45.4,False,False,False
67,2.233,True,860,96,48.6,False,False,False
68,2.267,True,870,101,50.7,False,False,False
69,2.3,True,880,107,53.0,False,True,False
70,2.333,True,890,114,55.7,False,False,False
71,2.367,True,900,122,58.5,False,False,False
72,2.4,True,910,131,58.5,False,False,False
73,2.433,True,920,140,61.5,False,False,False
74,2.467,True,930,150,64.6,False,False,False
75,2.5,True,940,161,61.8,False,False,False
76,2.533,True,949,172,67.9,False,False,False
77,2.567,True,959,184,67.9,False,False,False
78,2.6,True,969,196,71.3,False,False,False
79,2.633,True,979,209,74.8,False,False,False
80,2.667,True,989,223,71.3,False,False,False
81,2.7,True,999,236,74.8,False,False,False
82,2.733,True,1009,250,74.8,False,False,False
83,2.767,True,1019,264,74.8,False,False,False
84,2.8,True,1029,278,71.3,False,False,False
85,2.833,True,1039,291,71.3,False,False,False
86,2.867,True,1049,304,74.0,False,False,False
87,2.9,True,1060,317,71.3,False,False,False
88,2.933,True,1070,330,71.3,False,False,False
89,2.967,True,1080,343,64.6,False,False,False
90,3.0,True,1090,354,64.6,False,False,False
91,3.033,False,889,119,61.3,False,False,True
92,3.067,False,899,132,61.3,False,False,True
93,3.1,False,908,144,61.3,False,False,True
94,3.133,False,918,157,61.3,False,False,True
95,3.167,False,927,170,61.3,False,False,True
96,3.2,False,937,183,61.3,False,False,True
97,3.233,False,946,196,61.3,False,False,True
98,3.267,False,956,209,61.3,False,False,True
99,3.3,False,965,223,61.3,False,False,True
100,3.333,False,975,236,61.3,False,False,True
101,3.367,False,984,250,61.3,False,False,True
102,3.4,False,994,264,61.3,False,False,True
103,3.433,False,1003,278,61.3,False,False,True
104,3.467,False,1013,292,61.3,False,False,True
105,3.5,False,1022,306,61.3,False,False,True
106,3.533,False,1032,320,61.3,False,False,True
107,3.567,False,1041,335,61.3,False,False,True
108,3.6,False,1051,349,61.3,False,False,True
109,3.633,False,1060,364,61.3,False,False,True
110,3.667,False,1070,378,61.3,False,False,True
111,3.7,False,1079,393,61.3,False,False,True
