frame_index,timestamp_sec,detected,x_pixel,y_pixel,instant_speed_kmh,is_bounce_point,is_impact_point,is_projected
1,0.083,True,549,155,8.7,False,False,False
2,0.167,True,554,155,24.3,False,False,False
3,0.25,True,568,155,1.7,False,False,False
4,0.333,True,568,156,88.7,False,False,False
5,0.417,True,619,157,89.1,False,False,False
6,0.5,True,670,162,71.4,False,False,False
7,0.583,True,711,164,40.1,False,False,False
8,0.667,True,734,166,20.9,False,False,False
9,0.75,True,746,165,121.5,False,False,False
10,0.833,True,677,154,36.9,False,False,False
11,0.917,True,698,157,26.1,False,False,False
12,1.0,True,713,158,13.2,False,False,False
13,1.083,True,720,161,8.9,False,False,False
14,1.167,True,725,162,17.9,False,False,False
15,1.25,True,497,131,149.8,False,False,False
16,1.333,True,488,136,28.3,False,False,False
17,1.417,True,574,141,19.4,False,False,False
18,1.5,True,558,144,8.7,False,False,False
19,1.583,True,547,146,135.9,False,False,False
20,1.667,True,542,146,94.3,False,False,False
21,1.75,True,620,151,64.3,False,False,False
22,1.833,True,674,156,104.5,False,False,False
23,1.917,True,711,157,66.2,False,False,False
24,2.0,True,651,153,85.2,False,False,False
25,2.083,True,614,144,54.3,False,False,False
26,2.167,True,663,145,169.5,False,False,False
27,2.25,True,694,149,105.9,False,False,False
28,2.333,True,631,274,61.7,False,False,False
29,2.417,True,585,360,27.5,False,False,False
30,2.5,True,555,413,8.7,False,False,False
31,2.583,True,536,443,7.0,False,False,False
32,2.667,True,527,456,12.7,False,False,False
33,2.75,True,523,459,12.7,False,False,False
34,2.833,True,523,455,11.7,False,False,False
35,2.917,True,525,448,11.7,False,False,False
36,3.0,True,527,441,7.8,False,False,False
37,3.083,True,530,435,5.5,False,False,False
38,3.167,True,533,429,2.5,False,False,False
39,3.25,True,535,425,1.7,False,False,False
40,3.333,True,536,422,1.7,False,False,False
41,3.417,True,537,421,1.7,False,False,False
42,3.5,True,537,420,1.7,False,False,False
43,3.583,True,538,420,0.0,False,False,False
44,3.667,True,538,419,1.7,False,False,False
45,3.75,True,538,420,1.7,False,False,False
46,3.833,True,538,420,82.5,False,False,False
47,3.917,True,539,420,68.5,False,False,False
48,4.0,True,538,420,50.1,False,False,False
49,4.083,True,625,296,34.8,False,False,False
50,4.167,True,598,335,21.2,False,False,False
51,4.25,True,575,367,12.5,False,False,False
52,4.333,True,559,391,6.3,False,False,False
53,4.417,True,547,407,1.7,False,False,False
54,4.5,True,540,417,1.7,False,False,False
55,4.583,True,536,423,2.5,False,False,False
56,4.667,True,534,426,2.5,False,False,False
57,4.75,True,534,427,3.5,False,False,False
58,4.833,True,534,426,2.5,False,False,False
59,4.917,True,535,425,1.7,False,False,False
60,5.0,True,536,424,1.7,False,False,False
61,5.083,True,536,422,0.0,False,False,False
62,5.167,True,537,421,2.5,False,False,False
63,5.25,True,538,421,0.0,False,False,False
64,5.333,True,538,420,0.0,False,False,False
65,5.417,True,538,420,1.7,False,False,False
66,5.5,True,539,419,0.0,False,False,False
67,5.583,True,539,419,0.0,False,False,False
68,5.667,True,539,419,0.0,False,False,False
69,5.75,True,539,420,1.7,False,False,False
70,5.833,True,539,420,0.0,False,False,False
71,5.917,True,539,420,0.0,False,False,False
72,6.0,True,539,420,0.0,False,False,False
73,6.083,True,539,421,0.0,False,False,False
74,6.167,True,539,421,0.0,False,False,False
75,6.25,True,539,421,0.0,False,False,False
76,6.333,True,539,421,2.5,False,False,False
77,6.417,True,539,421,0.0,False,False,False
78,6.5,True,539,421,0.0,False,False,False
79,6.583,True,539,421,1.7,False,False,False
80,6.667,True,540,420,0.0,False,False,False
81,6.75,True,540,420,2.5,False,False,False
82,6.833,True,540,420,0.0,False,False,False
83,6.917,True,540,419,0.0,False,False,False
84,7.0,True,540,419,2.5,False,False,False
85,7.083,True,539,420,0.0,False,False,False
86,7.167,True,539,420,0.0,False,False,False
87,7.25,True,539,420,0.0,False,False,False
88,7.333,True,538,421,0.0,False,False,False
89,7.417,True,538,421,0.0,False,False,False
90,7.5,True,538,421,0.0,False,False,False
91,7.583,True,538,421,0.0,False,False,False
92,7.667,True,538,421,0.0,False,False,False
93,7.75,True,538,421,0.0,False,False,False
94,7.833,True,538,421,0.0,False,False,False
95,7.917,True,538,421,0.0,False,False,False
96,8.0,True,538,421,0.0,False,False,False
97,8.083,True,538,421,0.0,False,False,False
98,8.167,True,538,421,0.0,False,False,False
99,8.25,True,538,421,0.0,False,False,False
100,8.333,True,538,421,0.0,False,False,False
101,8.417,True,538,421,1.7,False,False,False
102,8.5,True,538,421,1.7,False,False,False
103,8.583,True,538,421,0.0,False,False,False
104,8.667,True,538,421,1.7,False,False,False
105,8.75,True,539,421,1.7,False,False,False
106,8.833,True,539,420,1.7,False,False,False
107,8.917,True,539,420,1.7,False,False,False
108,9.0,True,540,420,0.0,False,False,False
109,9.083,True,541,420,1.7,False,False,False
110,9.167,True,542,420,1.7,False,False,False
111,9.25,True,543,420,0.0,False,False,False
112,9.333,True,543,420,2.5,False,False,False
113,9.417,True,544,420,0.0,False,False,False
114,9.5,True,545,420,1.7,False,False,False
115,9.583,True,545,420,0.0,False,False,False
116,9.667,True,546,419,1.7,False,False,False
117,9.75,True,546,419,1.7,False,False,False
118,9.833,True,547,419,0.0,False,False,False
119,9.917,True,547,419,0.0,False,False,False
